"id","pescador_id","nome_arquivo","created_at","status"
"008cbb84ae684769e12275b03313f2261a9c6998008cbb84ae684769e12275b03313f2261a9c6998",2686,"98661698634-certificado-regularidade.pdf","2024-10-04 10:50:15",1
"055ba5620d7ef98e89f2a5875de7c40775bd38bd055ba5620d7ef98e89f2a5875de7c40775bd38bd",7039,FILIAÇÃO.pdf,"2024-10-04 09:03:31",1
"05ac9924553bc852fd9df92ea7e4092fa06c694705ac9924553bc852fd9df92ea7e4092fa06c6947",7069,CNH.pdf,"2024-10-04 08:57:04",1
"0d9777b7d4ff736ab3e60f699b298e0cc246781f0d9777b7d4ff736ab3e60f699b298e0cc246781f",7063,CNH.pdf,"2024-10-04 09:00:21",1
"1052ed99fd36d53332894853a37c3aaaff62b6aa1052ed99fd36d53332894853a37c3aaaff62b6aa",1743,FOTO.jpeg,"2024-10-04 09:34:19",1
"10891c51b4a0d34587228ccdeded449e8984cad210891c51b4a0d34587228ccdeded449e8984cad2",6995,DECLARAÇÃO.pdf,"2024-10-04 10:27:05",1
"1349db7bdc5ea651ddbf135f96e9c7c14b53bf8e1349db7bdc5ea651ddbf135f96e9c7c14b53bf8e",2119,CARTEIRA NOVA.pdf,"2024-10-04 10:10:21",1
"15e7bf599a593d772c1fdb66a5672cd88b97d3e215e7bf599a593d772c1fdb66a5672cd88b97d3e2",6865,VA?LIDA EM TODO (4).pdf,"2024-04-11 13:34:29",1
"1871057f9d5d8f7a19900f9d61d12195db71ed121871057f9d5d8f7a19900f9d61d12195db71ed12",1748,GUIA2023.pdf,"2024-10-04 09:12:59",1
"190f5a01e156a239861a88c7b9009f44ff80d18f190f5a01e156a239861a88c7b9009f44ff80d18f",6899,CNH-e (5).pdf,"2024-05-14 14:21:15",1
"1ac928b06085ce09a2a14c9a2fe9d326e6a08e641ac928b06085ce09a2a14c9a2fe9d326e6a08e64",7034,COMPROVANTE NOVO.pdf,"2024-10-04 09:05:49",1
"1c8d701dc48f94dafa15759607193c8c488b0ccf1c8d701dc48f94dafa15759607193c8c488b0ccf",5333,TITULO.pdf,"2024-10-22 12:19:18",1
"22232fa4227828a8d7563f7e19847c283bd8f73222232fa4227828a8d7563f7e19847c283bd8f732",2119,FOTO.jpeg,"2024-10-04 10:11:07",1
"22ab8eacef9e021dc59aa2bc022a12a44f837bd622ab8eacef9e021dc59aa2bc022a12a44f837bd6",7055,DECLARAÇÃO DE RESI.pdf,"2024-10-04 09:01:59",1
"24d262cfdcaf7b71bae5343e68717b3f58a988b724d262cfdcaf7b71bae5343e68717b3f58a988b7",7063,TITULO.pdf,"2024-10-04 09:00:36",1
"25f12161da92eb96544e8257b8668d44a94b5cb325f12161da92eb96544e8257b8668d44a94b5cb3",7032,FILIAÇÃO.pdf,"2024-10-04 09:08:01",1
"26c8f259b5bad066c401aaea8316db0ff146b32826c8f259b5bad066c401aaea8316db0ff146b328",1743,TITULO.pdf,"2024-10-04 09:34:09",1
"2713350784ac662dbb396126aff5fefafafdf5eb2713350784ac662dbb396126aff5fefafafdf5eb",6861,NIT.pdf,"2024-04-11 13:11:47",1
"2a9a48bae75ad2b58cab55bc66aff62a802da8c22a9a48bae75ad2b58cab55bc66aff62a802da8c2",7039,ALTERAÇÃO DO CPF.pdf,"2024-10-04 09:02:51",0
"2c2d9e35ac3e8717c44557aa5a6d0655e6ca5e8d2c2d9e35ac3e8717c44557aa5a6d0655e6ca5e8d",7039,RG.pdf,"2024-10-04 09:03:40",1
"2fa858fc611f86a4d929630a1a5aadb042ac4a222fa858fc611f86a4d929630a1a5aadb042ac4a22",6994,NIT.pdf,"2024-10-04 09:44:34",1
"304a58866687574890d749b97359f53cef3b2a47304a58866687574890d749b97359f53cef3b2a47",5333,ENDERECO.pdf,"2024-10-22 12:18:54",1
"307a3bca6f3a9afba9e4affe0caeea7279134989307a3bca6f3a9afba9e4affe0caeea7279134989",6994,WhatsApp Image 2024-08-05 at 10.12.13.jpeg,"2024-10-04 09:45:23",1
"32801fc9cfedcf1acaabec55197c52d1f1873ebe32801fc9cfedcf1acaabec55197c52d1f1873ebe",7039,CPF.pdf,"2024-10-04 09:03:07",1
"345a4cd1ecb759e3559ec5ec15b382dd17158cd5345a4cd1ecb759e3559ec5ec15b382dd17158cd5",6069,PIS.pdf,"2024-04-11 16:07:07",1
"3513427f79b311d169f35f497859d31702c492923513427f79b311d169f35f497859d31702c49292",1748,DECLARAÇÃO DE RESIDENCIA.pdf,"2024-10-04 09:12:29",1
"361b925f18107bfac85760b2e0a7c728f1f46d86361b925f18107bfac85760b2e0a7c728f1f46d86",3789,"24582039812-certificado-regularidade.pdf","2024-05-02 10:50:42",1
"3939e7b7841c70c9886d3994830aa2c917e4306e3939e7b7841c70c9886d3994830aa2c917e4306e",7032,TITULO.pdf,"2024-10-04 09:08:21",1
"3bca19f6c22fd8f3f5c190bb72de68ecff85697a3bca19f6c22fd8f3f5c190bb72de68ecff85697a",7039,d3efb2fd-2616-4db7-97ae-f978b395e6f3.jpg,"2024-10-04 09:03:17",1
"3c8725b1b878b8eaf728b0c46b0c68d0b366558b3c8725b1b878b8eaf728b0c46b0c68d0b366558b",7034,DECLARAÇÃO DE RESI.pdf,"2024-10-04 09:05:52",1
"3ef9f5a61f12c3371ea62372f13e1b411851336e3ef9f5a61f12c3371ea62372f13e1b411851336e",1743,FILIACAO.pdf,"2024-10-04 09:33:58",1
"412a93d938a321ca84c4879d89d5d7ff39868181412a93d938a321ca84c4879d89d5d7ff39868181",5979,CNH.pdf,"2024-10-04 08:58:58",1
"42197010e5e4c1dce38254f3d9e36d61763a5d2642197010e5e4c1dce38254f3d9e36d61763a5d26",6994,FILIAÇÃO.pdf,"2024-10-04 09:44:30",1
"439431a1312d2c70c5c6aaf239537b3d195f76d8439431a1312d2c70c5c6aaf239537b3d195f76d8",6195,RG.pdf,"2024-10-04 10:27:56",1
"487bc780f5fec92e5735aaefb0a35edc8a00bac6487bc780f5fec92e5735aaefb0a35edc8a00bac6",6470,"83416943600-certificado-regularidade.pdf","2024-07-01 16:12:35",1
"48e634bb2d527d24a5e2e49f939340c332f9455f48e634bb2d527d24a5e2e49f939340c332f9455f",7034,PIS.pdf,"2024-10-04 09:06:33",1
"4c9f76076e9c6afd0f12347287de5ba57b1923cb4c9f76076e9c6afd0f12347287de5ba57b1923cb",5979,RG FRENTE E VERSO.pdf,"2024-10-04 09:09:12",1
"4d0b08bcf00cb553a96f17abedbfba6af1d452b04d0b08bcf00cb553a96f17abedbfba6af1d452b0",6994,DECLARAÇÃO.pdf,"2024-10-04 09:44:26",1
